Code Departamento,distanciaRio,hayRioCercano,tipoDeSuelo,estacion,temperature_2m,total_evaporation_sum,volumetric_soil_water_layer_1,precipitation_1,precipitation_2,precipitation_3,precipitation_4,precipitation_5,precipitation_6,precipitation_7,seInunda
90035,25.54,False,Molisoles,verano,24.353369013468466,3.9888136088848003,0.4158980051676432,2.5,2.1,0.0,0.0,0.0,7.2,11.6,1
90035,25.54,False,Molisoles,verano,24.353369013468466,3.9888136088848003,0.4158980051676432,2.5,2.1,0.0,0.0,0.0,7.2,11.6,1
74007,64.22,False,Entisoles,verano,22.025700505574548,3.9707971736788004,0.2097784678141276,1.4,0.9,0.4,0.5,0.2,0.2,0.2,1
74007,64.22,False,Entisoles,verano,22.025700505574548,3.9707971736788004,0.2097784678141276,1.4,0.9,0.4,0.5,0.2,0.2,0.2,1
14140,12.54,False,Alfisoles,verano,24.542773183186853,4.043437540531101,0.2661972045898437,0.0,7.0,52.0,13.0,11.8,8.4,9.3,1
14105,21.24,False,Molisoles,verano,24.526171620686853,4.0292702615261,0.2517433166503906,0.0,7.6,33.3,25.2,6.7,13.3,11.4,1
14014,24.04,False,Miscelaneas,verano,22.105109786987327,4.1305189952254,0.4121793111165364,17.8,3.2,15.8,0.0,0.4,0.0,0.0,1
82063,23.73,False,Molisoles,invierno,19.970933532714866,1.415628939867,0.4578196207682292,0.3,5.5,1.5,4.0,0.0,0.0,0.0,1
14021,20.69,False,Miscelaneas,verano,22.514777755737327,4.1046552360057,0.3997732798258464,8.4,4.8,18.1,0.0,0.0,0.5,0.0,1
14021,20.69,False,Miscelaneas,verano,22.514777755737327,4.1046552360057,0.3997732798258464,8.4,4.8,18.1,0.0,0.0,0.5,0.0,1
14021,20.69,False,Miscelaneas,verano,22.514777755737327,4.1046552360057,0.3997732798258464,8.4,4.8,18.1,0.0,0.0,0.5,0.0,1
74028,30.54,False,Entisoles,verano,18.99746157328292,3.2707769423723,0.3918069203694661,2.5,11.6,0.0,0.3,0.1,0.0,1.2,1
74049,58.78,False,Entisoles,verano,19.914372380574548,3.74795217067,0.354831059773763,3.4,2.1,0.2,0.2,0.0,0.0,0.0,1
74049,58.78,False,Entisoles,verano,19.914372380574548,3.74795217067,0.354831059773763,3.4,2.1,0.2,0.2,0.0,0.0,0.0,1
10098,18.43,False,Roca,verano,23.67128969828292,2.6334719732403,0.3176403045654297,4.5,13.7,0.3,1.2,3.0,4.8,4.9,1
10098,18.43,False,Roca,verano,23.67128969828292,2.6334719732403,0.3176403045654297,4.5,13.7,0.3,1.2,3.0,4.8,4.9,1
10098,18.43,False,Roca,verano,23.67128969828292,2.6334719732403,0.3176403045654297,4.5,13.7,0.3,1.2,3.0,4.8,4.9,1
86182,13.63,False,Alfisoles,verano,25.164372380574548,3.1429883092641,0.3977298736572265,2.0,59.6,0.1,5.9,4.0,0.4,0.8,1
86084,23.83,False,Molisoles,verano,23.835677719116234,2.6363786309957002,0.2906678517659505,8.0,21.7,1.2,3.3,5.0,6.1,3.0,1
86105,8.34,False,Alfisoles,verano,24.717839177449548,2.6526609435677,0.4086386362711589,1.7,51.2,0.0,2.0,5.0,1.0,0.6,1
86077,10.43,False,Alfisoles,verano,24.93105532328292,2.9495228081941,0.3982702891031901,0.7,82.8,0.0,0.5,1.6,0.3,0.0,1
86077,10.43,False,Alfisoles,verano,24.93105532328292,2.9495228081941,0.3982702891031901,0.7,82.8,0.0,0.5,1.6,0.3,0.0,1
86042,12.07,False,Molisoles,verano,24.954167302449548,2.8094202280044,0.4026482899983724,0.3,105.7,0.0,0.6,3.2,0.0,0.0,1
86049,13.33,False,Alfisoles,verano,24.583073552449548,2.7170609682798,0.2791124979654948,2.2,40.1,2.0,1.6,4.9,4.1,1.8,1
82063,23.73,False,Molisoles,primavera,20.484225845336937,4.8962496221065,0.385372797648112,0.0,0.0,0.0,25.1,59.5,4.3,0.0,1
82084,22.58,False,Alfisoles,primavera,19.856703058878622,1.5794774517416,0.2897205352783203,0.0,0.0,0.0,27.3,88.2,0.0,0.0,1
14140,12.54,False,Alfisoles,verano,23.53750063578292,3.2593291252851,0.3966121673583984,8.4,28.5,0.0,0.4,6.5,0.4,0.0,1
14014,24.04,False,Miscelaneas,primavera,21.611178970336937,0.5776332691311836,0.1337750752766927,0.0,0.0,0.0,32.1,46.2,0.0,0.0,1
14056,4.84,True,Molisoles,primavera,23.15056699117025,0.8463272824883461,0.1428483327229817,0.0,0.0,0.5,38.5,33.1,0.0,0.0,1
14021,20.69,False,Miscelaneas,primavera,21.84294980367025,0.8810311555862427,0.1766891479492187,0.0,0.0,0.0,35.6,48.8,0.0,0.0,1
14021,20.69,False,Miscelaneas,primavera,21.84294980367025,0.8810311555862427,0.1766891479492187,0.0,0.0,0.0,35.6,48.8,0.0,0.0,1
14021,20.69,False,Miscelaneas,primavera,21.84294980367025,0.8810311555862427,0.1766891479492187,0.0,0.0,0.0,35.6,48.8,0.0,0.0,1
82063,23.73,False,Molisoles,verano,24.54653383890792,3.3746138215065,0.4921061197916667,3.3,53.5,0.0,9.1,8.8,0.0,0.0,1
14021,20.69,False,Miscelaneas,verano,22.690902328491234,3.0299136415123,0.3947563171386719,11.8,12.5,0.0,0.0,1.0,0.8,0.0,1
14091,28.57,False,Molisoles,verano,20.10683657328292,2.8208643198013004,0.3916327158610026,7.5,2.8,0.0,0.3,1.4,0.0,0.0,1
14140,12.54,False,Alfisoles,verano,23.53750063578292,3.2593291252851,0.3966121673583984,8.4,28.5,0.0,0.4,6.5,0.4,0.0,1
14091,28.57,False,Molisoles,verano,20.10683657328292,2.8208643198013004,0.3916327158610026,7.5,2.8,0.0,0.3,1.4,0.0,0.0,1
14042,27.92,False,Complejo indiferenci,verano,22.637679672241234,2.8636427596211,0.3941338857014974,0.3,87.1,0.0,0.1,0.2,0.0,0.0,1
14140,12.54,False,Alfisoles,verano,23.53750063578292,3.2593291252851,0.3966121673583984,8.4,28.5,0.0,0.4,6.5,0.4,0.0,1
34049,50.93,False,Rio,invierno,22.510088221232138,2.6726322248577996,0.4692115783691406,15.1,11.4,38.3,48.4,34.1,14.4,0.0,1
34049,50.93,False,Rio,otoño,14.771324412028036,1.910027116537,0.4141470591227214,0.0,0.8,1.4,0.0,11.3,0.0,0.0,1
54063,8.04,False,Molisoles,otoño,16.242434438069665,2.3182202130556,0.4581953684488932,0.0,0.0,0.0,0.0,10.4,15.7,0.3,1
06638,12.77,False,Molisoles,otoño,12.282420094807946,0.9168088436126708,0.4255485534667969,1.5,20.9,34.3,0.2,0.0,0.0,0.0,1
06714,17.53,False,Molisoles,otoño,12.260040537516318,0.6278138607740402,0.425275166829427,0.4,29.2,42.3,0.1,0.0,0.0,0.0,1
