Unnamed: 0,timeend,valor,rio_id,lat,lon
212963,2021-08-05,1.41,9410-2823,-25.2677777777778,-65.2372222222222
212964,2021-08-07,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212965,2021-08-08,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212966,2021-08-09,1.39,9410-2823,-25.2677777777778,-65.2372222222222
212967,2021-08-11,1.4,9410-2823,-25.2677777777778,-65.2372222222222
212968,2021-08-12,1.4,9410-2823,-25.2677777777778,-65.2372222222222
212969,2021-08-13,1.39,9410-2823,-25.2677777777778,-65.2372222222222
212970,2021-08-14,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212971,2021-08-15,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212972,2021-08-16,1.39,9410-2823,-25.2677777777778,-65.2372222222222
212973,2021-08-17,1.39,9410-2823,-25.2677777777778,-65.2372222222222
212974,2021-08-18,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212975,2021-08-19,1.4,9410-2823,-25.2677777777778,-65.2372222222222
212976,2021-08-20,1.4,9410-2823,-25.2677777777778,-65.2372222222222
212977,2021-08-21,1.42,9410-2823,-25.2677777777778,-65.2372222222222
212978,2021-08-22,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212979,2021-08-23,1.4,9410-2823,-25.2677777777778,-65.2372222222222
212980,2021-08-24,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212981,2021-08-25,1.4,9410-2823,-25.2677777777778,-65.2372222222222
212982,2021-08-26,1.4,9410-2823,-25.2677777777778,-65.2372222222222
212983,2021-08-27,1.4,9410-2823,-25.2677777777778,-65.2372222222222
212984,2021-08-28,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212985,2021-08-29,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212986,2021-08-30,1.4,9410-2823,-25.2677777777778,-65.2372222222222
212987,2021-08-31,1.4,9410-2823,-25.2677777777778,-65.2372222222222
212988,2021-09-02,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212989,2021-09-03,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212990,2021-09-04,1.35,9410-2823,-25.2677777777778,-65.2372222222222
212991,2021-09-05,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212992,2021-09-06,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212993,2021-09-07,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212994,2021-09-08,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212995,2021-09-09,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212996,2021-09-10,1.39,9410-2823,-25.2677777777778,-65.2372222222222
212997,2021-09-11,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212998,2021-09-12,1.36,9410-2823,-25.2677777777778,-65.2372222222222
212999,2021-09-13,1.36,9410-2823,-25.2677777777778,-65.2372222222222
213000,2021-09-14,1.37,9410-2823,-25.2677777777778,-65.2372222222222
213001,2021-09-15,1.38,9410-2823,-25.2677777777778,-65.2372222222222
213002,2021-09-16,1.4,9410-2823,-25.2677777777778,-65.2372222222222
213003,2021-09-17,1.36,9410-2823,-25.2677777777778,-65.2372222222222
213004,2021-09-19,1.36,9410-2823,-25.2677777777778,-65.2372222222222
213005,2021-09-20,1.37,9410-2823,-25.2677777777778,-65.2372222222222
213006,2021-09-21,1.38,9410-2823,-25.2677777777778,-65.2372222222222
213007,2021-09-22,1.37,9410-2823,-25.2677777777778,-65.2372222222222
213008,2021-09-24,1.37,9410-2823,-25.2677777777778,-65.2372222222222
213009,2021-09-25,1.36,9410-2823,-25.2677777777778,-65.2372222222222
213010,2021-09-26,1.36,9410-2823,-25.2677777777778,-65.2372222222222
213011,2021-09-27,1.38,9410-2823,-25.2677777777778,-65.2372222222222
213012,2021-09-28,1.36,9410-2823,-25.2677777777778,-65.2372222222222
213013,2021-09-29,1.35,9410-2823,-25.2677777777778,-65.2372222222222
213014,2021-09-30,1.36,9410-2823,-25.2677777777778,-65.2372222222222
213015,2021-10-01,1.37,9410-2823,-25.2677777777778,-65.2372222222222
213016,2021-10-02,1.34,9410-2823,-25.2677777777778,-65.2372222222222
213017,2021-10-03,1.32,9410-2823,-25.2677777777778,-65.2372222222222
213018,2021-10-04,1.32,9410-2823,-25.2677777777778,-65.2372222222222
213019,2021-10-05,1.35,9410-2823,-25.2677777777778,-65.2372222222222
213020,2021-10-06,1.36,9410-2823,-25.2677777777778,-65.2372222222222
213021,2021-10-07,1.36,9410-2823,-25.2677777777778,-65.2372222222222
213022,2021-10-09,1.33,9410-2823,-25.2677777777778,-65.2372222222222
213023,2021-10-11,1.33,9410-2823,-25.2677777777778,-65.2372222222222
213024,2021-10-12,1.35,9410-2823,-25.2677777777778,-65.2372222222222
213025,2021-10-14,1.33,9410-2823,-25.2677777777778,-65.2372222222222
213026,2021-10-15,1.33,9410-2823,-25.2677777777778,-65.2372222222222
213027,2021-10-16,1.32,9410-2823,-25.2677777777778,-65.2372222222222
213028,2021-10-17,1.31,9410-2823,-25.2677777777778,-65.2372222222222
213029,2021-10-18,1.32,9410-2823,-25.2677777777778,-65.2372222222222
213030,2021-10-19,1.35,9410-2823,-25.2677777777778,-65.2372222222222
213031,2021-10-20,1.33,9410-2823,-25.2677777777778,-65.2372222222222
213032,2021-10-21,1.36,9410-2823,-25.2677777777778,-65.2372222222222
213033,2021-10-22,1.34,9410-2823,-25.2677777777778,-65.2372222222222
213034,2021-10-23,1.3,9410-2823,-25.2677777777778,-65.2372222222222
213035,2021-10-24,1.3,9410-2823,-25.2677777777778,-65.2372222222222
213036,2021-10-25,1.35,9410-2823,-25.2677777777778,-65.2372222222222
213037,2021-10-26,1.35,9410-2823,-25.2677777777778,-65.2372222222222
213038,2021-10-27,1.34,9410-2823,-25.2677777777778,-65.2372222222222
213039,2021-10-28,1.34,9410-2823,-25.2677777777778,-65.2372222222222
213040,2021-10-29,1.35,9410-2823,-25.2677777777778,-65.2372222222222
213041,2021-10-30,1.31,9410-2823,-25.2677777777778,-65.2372222222222
213042,2021-10-31,1.33,9410-2823,-25.2677777777778,-65.2372222222222
213043,2021-11-01,1.33,9410-2823,-25.2677777777778,-65.2372222222222
213044,2021-11-02,1.35,9410-2823,-25.2677777777778,-65.2372222222222
213045,2021-11-03,1.33,9410-2823,-25.2677777777778,-65.2372222222222
213046,2021-11-04,1.34,9410-2823,-25.2677777777778,-65.2372222222222
213047,2021-11-05,1.33,9410-2823,-25.2677777777778,-65.2372222222222
213048,2021-11-06,1.34,9410-2823,-25.2677777777778,-65.2372222222222
213049,2021-11-07,1.3,9410-2823,-25.2677777777778,-65.2372222222222
213050,2021-11-08,1.32,9410-2823,-25.2677777777778,-65.2372222222222
213051,2021-11-09,1.33,9410-2823,-25.2677777777778,-65.2372222222222
213052,2021-11-10,1.32,9410-2823,-25.2677777777778,-65.2372222222222
213053,2021-11-11,1.33,9410-2823,-25.2677777777778,-65.2372222222222
213054,2021-11-13,1.29,9410-2823,-25.2677777777778,-65.2372222222222
213055,2021-11-14,1.33,9410-2823,-25.2677777777778,-65.2372222222222
213056,2021-11-15,1.33,9410-2823,-25.2677777777778,-65.2372222222222
213057,2021-11-16,1.3,9410-2823,-25.2677777777778,-65.2372222222222
213058,2021-11-17,1.33,9410-2823,-25.2677777777778,-65.2372222222222
