,date,rio_id,lat,lon,altura_value,precipitaciones_value
182,2023-07-02,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
183,2023-07-03,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
184,2023-07-04,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
185,2023-07-05,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
186,2023-07-06,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
187,2023-07-07,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
188,2023-07-08,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,1.7
189,2023-07-09,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
190,2023-07-10,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
191,2023-07-11,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,3.5
192,2023-07-12,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,3.3
193,2023-07-13,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
194,2023-07-14,6746-2123,-36.3977777777778,-67.1402777777778,-0.09,0.0
195,2023-07-15,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
196,2023-07-16,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
197,2023-07-17,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.9
198,2023-07-18,6746-2123,-36.3977777777778,-67.1402777777778,-0.09,0.0
199,2023-07-19,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
200,2023-07-20,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
201,2023-07-21,6746-2123,-36.3977777777778,-67.1402777777778,-0.09,0.0
202,2023-07-22,6746-2123,-36.3977777777778,-67.1402777777778,-0.09,0.9
203,2023-07-23,6746-2123,-36.3977777777778,-67.1402777777778,-0.09,0.0
204,2023-07-24,6746-2123,-36.3977777777778,-67.1402777777778,-0.09,0.0
205,2023-07-25,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
206,2023-07-26,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
207,2023-07-27,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.8
208,2023-07-28,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
209,2023-07-29,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
210,2023-07-30,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
211,2023-07-31,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
212,2023-08-01,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
213,2023-08-02,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
214,2023-08-03,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
215,2023-08-04,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
216,2023-08-05,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
217,2023-08-06,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
218,2023-08-07,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
219,2023-08-08,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
220,2023-08-09,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
221,2023-08-10,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.1
222,2023-08-11,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
223,2023-08-12,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
224,2023-08-13,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
225,2023-08-14,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
226,2023-08-15,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
227,2023-08-16,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
228,2023-08-17,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,2.8
229,2023-08-18,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.1
230,2023-08-19,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,22.5
231,2023-08-20,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,8.9
232,2023-08-21,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,7.1
233,2023-08-22,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,20.9
234,2023-08-23,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
235,2023-08-24,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.1
236,2023-08-25,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
237,2023-08-26,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
238,2023-08-27,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
239,2023-08-28,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.3
240,2023-08-29,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
241,2023-08-30,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
242,2023-08-31,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
243,2023-09-01,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
244,2023-09-02,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.2
245,2023-09-03,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
246,2023-09-04,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,2.6
247,2023-09-05,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
248,2023-09-06,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,5.9
249,2023-09-07,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,8.7
250,2023-09-08,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,1.2
251,2023-09-09,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
252,2023-09-10,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,2.7
253,2023-09-11,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,5.0
254,2023-09-12,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
255,2023-09-13,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
256,2023-09-14,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.5
257,2023-09-15,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
258,2023-09-16,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
259,2023-09-17,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.1
260,2023-09-18,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
261,2023-09-19,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
262,2023-09-20,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
263,2023-09-21,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
264,2023-09-22,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,1.1
265,2023-09-23,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,1.8
266,2023-09-24,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.1
267,2023-09-25,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
268,2023-09-26,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
269,2023-09-27,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
270,2023-09-28,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
271,2023-09-29,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
272,2023-09-30,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
273,2023-10-01,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
274,2023-10-02,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
275,2023-10-03,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,1.4
276,2023-10-04,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
277,2023-10-05,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
278,2023-10-06,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
279,2023-10-07,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
280,2023-10-08,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
281,2023-10-09,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
282,2023-10-10,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
283,2023-10-11,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
284,2023-10-12,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
285,2023-10-13,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
286,2023-10-14,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
287,2023-10-15,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
288,2023-10-16,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
289,2023-10-17,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
290,2023-10-18,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,6.0
291,2023-10-19,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
292,2023-10-20,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,1.4
293,2023-10-21,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,14.7
294,2023-10-22,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.3
295,2023-10-23,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,2.0
296,2023-10-24,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,1.0
297,2023-10-25,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
298,2023-10-26,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
299,2023-10-27,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.2
300,2023-10-28,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
301,2023-10-29,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.2
302,2023-10-30,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
303,2023-10-31,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
304,2023-11-01,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,15.1
305,2023-11-02,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,2.7
306,2023-11-03,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
307,2023-11-04,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
308,2023-11-05,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
309,2023-11-06,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
310,2023-11-07,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
311,2023-11-08,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
312,2023-11-09,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
313,2023-11-10,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,5.7
314,2023-11-11,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
315,2023-11-12,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.7
