date,rio_id,lat,lon,altura_value,precipitaciones_value
2023-08-20,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,8.9
2023-08-21,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,7.1
2023-08-22,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,20.9
2023-08-23,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-08-24,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.1
2023-08-25,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-08-26,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-08-27,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-08-28,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.3
2023-08-29,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-08-30,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-08-31,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-09-01,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-09-02,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.2
2023-09-03,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-09-04,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,2.6
2023-09-05,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-09-06,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,5.9
2023-09-07,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,8.7
2023-09-08,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,1.2
2023-09-09,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-09-10,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,2.7
2023-09-11,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,5.0
2023-09-12,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-09-13,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-09-14,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.5
2023-09-15,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-09-16,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-09-17,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.1
2023-09-18,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-09-19,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-09-20,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-09-21,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-09-22,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,1.1
2023-09-23,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,1.8
2023-09-24,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.1
2023-09-25,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-09-26,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-09-27,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-09-28,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-09-29,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-09-30,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-10-01,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-10-02,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-10-03,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,1.4
2023-10-04,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-10-05,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-10-06,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-10-07,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-10-08,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-10-09,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-10-10,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-10-11,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-10-12,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-10-13,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-10-14,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-10-15,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-10-16,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-10-17,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-10-18,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,6.0
2023-10-19,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-10-20,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,1.4
