date,dewpoint_temperature_2m,surface_pressure,surface_solar_radiation_downwards_sum,temperature_2m,u_component_of_wind_10m,v_component_of_wind_10m,localidad,lat_lon
2025-03-08,280.9924780527751,101493.30973307292,14465361.6875,291.635399500529,4.012232939402263,4.183217326800029,Bahía Blanca,"-38.7196, -62.2683"
2025-03-09,282.4177328745524,102239.85579427083,23437166.75,289.3004347483317,0.5760714213053385,-0.7456794182459513,Bahía Blanca,"-38.7196, -62.2683"
2025-03-10,283.2799523671468,101012.28873697917,21118649.4375,292.0503800710042,3.1271915435791016,-4.474612633387248,Bahía Blanca,"-38.7196, -62.2683"
2025-03-11,277.30255699157715,101882.51839192708,22862706.25,288.9523162841797,-1.3404579162597656,3.261739730834961,Bahía Blanca,"-38.7196, -62.2683"
2025-03-12,279.63390858968097,102498.53694661458,22385834.625,288.010835647583,-0.8951168060302734,-0.5146521727244059,Bahía Blanca,"-38.7196, -62.2683"
2025-03-13,281.41626358032227,102140.51871744792,22232695.6875,289.8556938171387,-0.8481229146321615,-3.0038347244262695,Bahía Blanca,"-38.7196, -62.2683"
2025-03-14,282.1445992787679,101616.39469401042,21562422.375,290.5167039235433,-0.341220219930013,-3.5626246134440103,Bahía Blanca,"-38.7196, -62.2683"
2025-03-15,284.44650713602704,101417.93636067708,19473165.1875,292.21747334798175,0.260623296101888,-4.718477010726929,Bahía Blanca,"-38.7196, -62.2683"
2025-03-16,288.25061988830566,101397.49853515625,17708100.375,294.29628880818683,0.7871220906575521,-4.303698221842448,Bahía Blanca,"-38.7196, -62.2683"
2025-03-17,290.2494748433431,101170.35611979167,19529598.875,296.2169926961263,2.755528132120768,-5.238552649815877,Bahía Blanca,"-38.7196, -62.2683"
2025-03-18,288.95558675130206,101327.92431640625,20990746.4375,294.0825532277425,-1.3356022040049236,1.798462708791097,Bahía Blanca,"-38.7196, -62.2683"
2025-03-19,287.9934609731038,101203.77067057292,20173932.75,293.3211663564046,-1.6303187608718872,-1.5070521036783855,Bahía Blanca,"-38.7196, -62.2683"
2025-03-20,292.67868423461914,100864.9248046875,19704747.45703125,299.13200696309406,1.5969341198603313,-4.399714430173238,Bahía Blanca,"-38.7196, -62.2683"
2025-03-21,290.5894966125488,100777.31656901042,14111804.0,297.89418919881183,1.7980709075927734,-3.7224178314208984,Bahía Blanca,"-38.7196, -62.2683"
2025-03-22,289.7534999847412,101153.35986328125,5013332.0,291.4557965596517,-2.933821360270182,4.82194455464681,Bahía Blanca,"-38.7196, -62.2683"
2025-03-23,282.75439262390137,101931.09830729167,7467716.0,288.2284240722656,-6.45208740234375,5.985270818074544,Bahía Blanca,"-38.7196, -62.2683"
2025-03-24,282.04162406921387,101965.71028645833,12652496.0,288.58098729451496,-2.285124739011129,2.601932684580485,Bahía Blanca,"-38.7196, -62.2683"
2025-03-25,283.0622622172038,101940.24690755208,19914704.0,288.5153617858887,-0.3250003655751546,-1.073036750157674,Bahía Blanca,"-38.7196, -62.2683"
2025-03-26,285.8196830749512,101275.99967447917,11640218.0,290.8777306874593,-1.9681379795074463,-3.264584541320801,Bahía Blanca,"-38.7196, -62.2683"
2025-03-27,287.3719679514567,100619.36051432292,18853636.0,292.9854081471761,4.611489137013753,-3.332239270210266,Bahía Blanca,"-38.7196, -62.2683"
2025-03-28,287.8857841491699,100825.1279296875,13267592.0,294.50512377421063,1.5890055497487385,-2.2646499077479043,Bahía Blanca,"-38.7196, -62.2683"
2025-03-29,287.16801770528156,100823.63346354167,18211396.0,293.4700043996175,0.39363988240559894,-5.25343914826711,Bahía Blanca,"-38.7196, -62.2683"
2025-03-30,285.9254035949707,100217.08626302083,7526820.0,293.36042467753094,3.6234353383382163,-4.155065019925435,Bahía Blanca,"-38.7196, -62.2683"
2025-03-31,279.073283513387,101488.96988932292,17410762.0,288.34048589070636,3.628208796183268,3.365362803141276,Bahía Blanca,"-38.7196, -62.2683"
2025-04-01,279.9752502441406,101829.37923177083,18005266.0,287.5506413777669,0.6141388813654581,-4.620276649792989,Bahía Blanca,"-38.7196, -62.2683"
2025-04-02,281.1584841410319,100878.40315755208,18093564.0,289.9779173533122,4.3881683349609375,-4.388525684674581,Bahía Blanca,"-38.7196, -62.2683"
2025-04-03,277.35395367940265,101733.63509114583,15711144.0,285.31920623779297,1.9947166442871094,6.1740654309590655,Bahía Blanca,"-38.7196, -62.2683"
2025-04-04,276.7745997111003,102915.93831380208,14290290.0,283.6760508219401,1.9066251118977864,1.7708021799723308,Bahía Blanca,"-38.7196, -62.2683"
2025-04-05,278.5944366455078,102465.31624348958,17600992.0,285.62924067179364,-0.2393940289815267,-5.0797576904296875,Bahía Blanca,"-38.7196, -62.2683"
2025-04-06,280.9316062927246,102076.06917317708,17478940.0,288.54164632161456,1.0378106435139973,-5.726202686627706,Bahía Blanca,"-38.7196, -62.2683"
2025-04-07,284.60719362894696,102029.33154296875,14866894.0,289.5332400004069,-1.433728535970052,-2.696625908215841,Bahía Blanca,"-38.7196, -62.2683"
2025-04-08,284.75402386983234,102056.82633463542,14569146.0,289.2365957895915,-2.400099436442057,-1.960776646931966,Bahía Blanca,"-38.7196, -62.2683"
2025-04-09,285.78905550638837,101811.74104817708,15916266.0,290.9952386220296,-2.864434560139974,-3.396450082461039,Bahía Blanca,"-38.7196, -62.2683"
2025-04-10,287.4710439046224,101481.517578125,8384960.0,291.79431533813477,-2.8505433400472007,-3.795748750368754,Bahía Blanca,"-38.7196, -62.2683"
2025-04-11,289.3048267364502,101188.1650390625,4690354.0,292.18520482381183,-1.167959213256836,-3.7403064568837485,Bahía Blanca,"-38.7196, -62.2683"
2025-04-12,282.72444343566895,101169.89339192708,16220872.0,287.65250333150226,4.080996831258138,0.14780807495117188,Bahía Blanca,"-38.7196, -62.2683"
2025-04-13,281.58887672424316,101570.40348307292,15568756.0,287.2309691111247,1.2925090789794922,0.6604831218719482,Bahía Blanca,"-38.7196, -62.2683"
2025-04-14,283.4930019378662,101719.49479166667,4982308.0,285.841744740804,-4.472189585367839,-1.004907449086507,Bahía Blanca,"-38.7196, -62.2683"
